GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
finder,com.bookshelf.finder,FinderApplication,5,3,0,0,2,1,1,1,1,1
finder,com.bookshelf.finder.controller,BookController,95,7,2,0,23,2,7,1,6,1
finder,com.bookshelf.finder.controller,UserController,40,7,0,0,10,2,2,1,2,1
finder,com.bookshelf.finder.entity,BookEntity,0,31,0,0,0,13,0,9,0,9
finder,com.bookshelf.finder.entity,UserEntity,0,45,0,0,0,19,0,13,0,13
finder,com.bookshelf.finder.service,UserService,29,7,0,0,9,2,1,1,1,1
